avg_eng,hashtags,max_eng,min_eng,n_posts,# of posts
638313.5,#leanintogether,640378,636249,2,27911.0
684055.0,#curry6,730652,637458,2,14965.0
755406.0,#webelieve,755406,755406,1,314065.0
455272.0,#2wayplayer,661017,185328,6,2085.0
321936.0,#19hoopclass,321936,321936,1,176.0
643650.4,#mtndewicerisingstars,953708,309839,25,1335.0
419298.5833333333,#nbagamechangers,634801,290593,12,49.0
394038.5,#gleagueplayoffs,562526,225551,2,483.0
726558.8,#kumhohandles,782116,670173,15,262.0
622380.9285714285,#attslamdunk,862667,370338,14,1119.0
712184.2857142857,#leaguepassalert,1013895,356557,7,146.0
601453.0909090909,#graciasmanu,827433,276582,11,27282.0
310580.0,#nbaparis,310580,310580,1,275.0
516482.6,#thankyouchr1s,905061,314854,5,859.0
566199.3333333334,#8,735538,295726,6,8968008.0
324148.0,#milwaukeegr8,324148,324148,1,38.0
625227.0,#4mrthunder,677317,575466,3,161.0
672615.125,#4,744561,575466,8,17818026.0
306926.0,#mffl,330648,273288,7,153569.0
640193.8333333334,#airplanemode,728842,339877,6,122194.0
310643.0,#beatsstudio3wireless,317800,303486,2,6682.0
418355.0,#tripledoiblealert,418355,418355,1,1.0
609046.3636363636,#nbastyle,823310,307402,11,91031.0
426605.1,#rockets,741135,282083,10,1036303.0
569414.0,#internationalwomensday,618004,520824,2,6026528.0
563033.1333333333,#lakeshow,890738,367995,15,637793.0
742714.0,#currychallenge,742714,742714,1,4431.0
463133.0,#nba2kleague,671265,271511,6,14587.0
511340.71428571426,#truetoatlanta,824331,324039,7,123801.0
402938.2727272727,#kiawhoyagot,763144,264378,22,675.0
570985.0814814814,#nbaallstar,1129585,221015,135,420492.0
510505.0,#playersonly,595585,333867,4,19259.0
564980.803652968,#thisiswhyweplay,1053787,178916,438,516503.0
412208.2,#nbabhm,568712,353755,5,1167.0
522531.0,#nbavoices,783612,283569,11,1245.0
450428.6666666667,#bhm,619546,360738,3,514231.0
614322.0,#gmschool,614322,614322,1,792.0
354969.3333333333,#attvip,433125,298322,3,708.0
619248.551724138,#teamlebron,1015172,221015,29,130367.0
378897.0,#nbaart,378897,378897,1,81030.0
679310.2,#globalgame,973155,239447,15,4993.0
711160.0,#kiaallstarmvp,1067990,378462,5,2004.0
578375.0,#teamgiannis,780541,328259,7,7345.0
561684.75,#15,922558,341154,4,6772221.0
631860.7647058824,#statefarmsaturday,919846,288846,17,1467.0
579485.2727272727,#tacobellskills,854767,351591,11,1619.0
733192.0,#nbaallstarpractice,733192,733192,1,626.0
398683.0,#mtndewrisingstars,426789,370577,2,1225.0
378672.0,#budweiserlive,378672,378672,1,722.0
463122.6875,#rufflescelebgame,742958,267800,16,6222.0
370577.0,#ruffersballer,370577,370577,1,1.0
606637.0,#shoessofresh,606637,606637,1,30107.0
338088.0,#rufflesballer,338088,338088,1,12.0
700470.6153846154,#hoopsfortroops,908331,372818,13,4918.0
616788.6666666666,#nbacny,961591,353418,6,892.0
408786.0,#nbatradedeadline,408786,408786,1,5705.0
570502.0,#pacersallaccess,570502,570502,1,1.0
631218.5,#nbaallstardraft,897032,365405,2,256.0
410758.0,#lebronjames,432607,388909,2,3236210.0
432607.0,#giannis,432607,432607,1,108572.0
744445.0,#ownthegame,744445,744445,1,7687.0
433954.86363636365,#nikexnba,728475,272644,22,10259.0
645546.0,#thisyourtime,645546,645546,1,290.0
508481.39130434784,#dubnation,850957,320696,23,1677312.0
701970.0,#together4vic,701970,701970,1,314.0
511131.0,#nbaacademy,695117,327145,2,4315.0
539810.1428571428,#cusrise,853794,418612,7,55648.0
513773.1666666667,#mlkday,783612,228441,12,706082.0
532002.1904761905,#nbalondon,794849,255618,21,16648.0
704582.0,#hornetsallaccess,704582,704582,1,1.0
547205.4461756374,#nba,1129585,127816,2118,18334972.0
701481.0,#filipinoheritagenight,701481,701481,1,9009.0
570793.5454545454,#nbachinagames,873896,279233,33,2371.0
594285.6527777778,#nbaxmas,888480,253384,72,21390.0
338324.0,#sunsetvice,338324,338324,1,393.0
683770.4166666666,#nbasoundup,788201,578640,12,353.0
555736.4615384615,#kiamvp,807274,228317,13,8118.0
523914.3333333333,#gleagueshowcase,607543,396744,3,663.0
624858.5,#21,646188,603529,2,11809247.0
668053.0,#year16,668053,668053,1,3131.0
560964.1428571428,#nbaenm,708386,199728,7,0.0
491737.0,#nbaenmexico,653740,199728,4,996.0
596102.0,#milehighbasketball,796816,395388,2,26730.0
540592.375,#sixersallaccess,686267,345826,8,55.0
426366.0,#brotherhood,426366,426366,2,6543328.0
678980.0,#teamiseverything,678980,678980,1,13409.0
444931.0,#torontoallaccess,567610,278368,5,23.0
665957.0,#worldtrickshotday,670173,661741,2,2205.0
549827.0,#sagerstrong,711386,388268,2,30009.0
485245.5,#blazersallaccess,642600,327891,2,1.0
544146.5,#weekofgreatness,544181,544112,2,4588.0
324976.5,#vicenights,343018,306935,2,3058.0
395103.7727272727,#wnba,748727,165364,44,447355.0
555644.25,#heretheycome,754586,391854,4,46948.0
519517.71428571426,#alleyesnorth,723606,282827,7,23387.0
572845.0,#icetrae,572845,572845,1,2043.0
555208.0,#veteransday,908331,372818,3,2001871.0
580600.0,#headbandbron,769828,391372,2,260.0
495299.45454545453,#gamechanger,798054,251265,11,1650236.0
474240.22222222225,#wethenorth,816781,326092,9,1332094.0
617881.0,#fearthedeer,688331,507100,4,112864.0
674142.3333333334,#ripcity,746549,589195,3,473792.0
563513.5,#detroitbasketball,785991,341036,2,76677.0
677832.0268817204,#kiatipoff18,1077014,255418,186,3858.0
418266.75,#thunderup,722853,258469,12,469399.0
786006.0,#fibawc,786006,786006,1,32228.0
695014.5,#oladipoallaccess,793270,556296,4,14.0
287036.75,#gospursgo,375852,257135,4,861773.0
584901.8,#24,735538,295726,5,7889226.0
735538.0,#themambamentality,735538,735538,1,1313.0
731237.0,#hornets30,731237,731237,1,4742.0
413591.9,#sweepstakes,763144,264378,20,1728084.0
814112.0,#kiatopoff18,814112,814112,1,8.0
793414.0,#therondo,793414,793414,1,734.0
666220.7664974619,#nbapreseason,1053787,191794,197,32427.0
349840.0,#playgrounds2,349840,349840,1,1713.0
383213.25,#kiasixth,520837,305431,4,425.0
436868.0,#kiamip,571554,305431,4,429.0
447790.0,#kiadpoy,561538,305431,4,842.0
504704.85714285716,#kiaroy,737795,305431,7,731.0
808599.5,#nbacanadaseries,938434,723868,4,2603.0
192840.0,#hertimetoplay,192840,192840,1,1206.0
192840.0,#jrnbaweek,192840,192840,1,729.0
674443.0,#pistonsallaccess,674443,674443,1,1.0
752804.6666666666,#warriorsallaccess,764434,743561,3,50.0
668808.0,#celticsallaccess,668808,668808,1,12.0
695451.1428571428,#nbamixtape,917870,326703,7,2391.0
890701.0,#nbapreason,890701,890701,1,141.0
602442.0,#nbapresason,602442,602442,1,17.0
612606.5,#sunsallaccess,615095,610118,2,12.0
556558.0,#bullsallaccess,556558,556558,1,1.0
465560.5652173913,#watchmework,783795,165364,23,636721.0
159402.0,#usabwnt,159402,159402,1,2915.0
371085.625,#nbamediaday,988161,259723,40,5780.0
706456.0,#netsallaccess,732654,680258,2,23.0
333166.0,#23,333166,333166,1,9446966.0
328477.0,#lebron16,328477,328477,1,44101.0
792534.0,#adaywithmo,861539,723529,2,17.0
378134.26666666666,#wnbafinals,735738,199783,15,10065.0
609777.0,#2019,609777,609777,1,37658609.0
502669.3333333333,#nba2k19,680369,205326,3,299583.0
236897.0,#mjmondays,236897,236897,1,481491.0
307249.0,#hardwoodclassics,307249,307249,1,29743.0
458414.86363636365,#18hoopclass,952256,255054,22,2272.0
467517.125,#nbadraft,809903,280338,40,306627.0
842342.0,#nbalive19,881334,803350,2,19744.0
680117.7272727273,#nbavault,851603,552992,11,6730.0
327779.625,#wnbaplayoffs,706830,165364,16,7274.0
860846.0,#nationalbeardday,860846,860846,1,4654.0
712478.4423076923,#bestofnba,1066099,262516,52,1721.0
638580.0,#teamday,638580,638580,2,53021.0
568611.6666666666,#repost,690485,395821,3,408654535.0
869839.0,#nationaldogday,869839,869839,1,6658855.0
271511.0,#nba2kleaguefinals,271511,271511,1,85.0
271806.0,#mambaday,271806,271806,1,339805.0
273882.0,#winorgohome,287578,260186,2,67006.0
537645.6571428571,#1,1075434,255054,35,62941164.0
463373.4285714286,#kobe40,744561,248393,7,1915.0
749921.8333333334,#3,993651,624556,6,24795857.0
663869.5,#mixtapemonday,700236,627503,2,15024.0
429116.28571428574,#nbablockweek,830836,257104,7,440.0
599054.3333333334,#adaywithgrayson,834563,296132,3,73.0
815439.0,#whynottour,815439,815439,1,662.0
809756.0,#lefthandersday,809756,809756,1,50684.0
626910.4666666667,#jrnbaworldchampionship,818192,178916,15,3645.0
295881.0,#nba2kleagueawards,295881,295881,1,15.0
601016.1666666666,#nbaassistweek,1075434,282469,12,405.0
573218.8421052631,#2,842334,185328,19,40681670.0
653735.8666666667,#statefarmassist,819280,541616,30,270.0
433586.4,#nbalolla,666625,190982,5,421.0
533264.75,#nbahandlesweek,993651,256631,16,1436.0
667411.8333333334,#bwbafrica,783809,320925,6,1931.0
544949.6,#nbaafricagame,822043,127816,15,7263.0
814847.5,#teamafrica,822043,807652,2,63772.0
363408.3333333333,#teamworld,807652,127816,3,16345.0
436092.0416666667,#nbasummer,573271,179797,96,37191.0
534545.1904761905,#nbadunkweek,842334,287863,21,1594.0
455772.0,#wnbaallstar,625923,203580,4,5333.0
375804.0,#teamparker,375804,375804,1,20712.0
375804.0,#teamdelledonne,375804,375804,1,322.0
617781.0,#wnba3point,617781,617781,1,77.0
281082.0,#elpibede41mas,281082,281082,1,10.0
619512.0,#5,624556,614468,2,14672067.0
465794.05555555556,#usabmnt,687058,226327,18,9949.0
545105.0,#mountaindew,546043,544167,2,612687.0
625493.0357142857,#kickstartrisingstars,890738,290593,28,1207.0
596942.0,#budweiserpursuinggreatness,635791,572423,3,18.0
663447.0,#nnasummer,663447,663447,1,0.0
509200.3333333333,#nbatbt,678590,283264,3,588.0
582760.0,#nbasunmer,582760,582760,1,8.0
793411.0,#nationalhandshakeday,793411,793411,1,3130.0
323767.0,#nbacommunityassist,323767,323767,1,8770.0
211330.0,#nycpride,211330,211330,1,215675.0
211330.0,#nbapride,211330,211330,1,395.0
211330.0,#wnbapride,211330,211330,1,451.0
545618.0,#gohoopday,721828,313733,3,1826.0
597805.1176470588,#jrnba,818192,178916,17,47761.0
668758.0,#americasteamcamp,668758,668758,1,297.0
469674.5,#lastshot,620733,318616,2,46386.0
680530.0,#stealataco,680567,680493,2,1189.0
680530.0,#tacobellpartner,680567,680493,2,591.0
431515.6666666667,#warriorsparade,642000,324969,3,38127.0
691057.0,#bestshotseries,691057,691057,1,379.0
818357.0,#imwhy,879112,757602,2,2029.0
530126.3333333334,#whateverittakes,936254,299133,15,1430744.0
847138.0,#100,847138,847138,1,9670584.0
611844.0,#dreamshake,611844,611844,1,3867.0
347352.0,#nbabracketchallenge,347352,347352,1,189.0
673664.5,#wireddifferent,690297,657032,2,2690.0
703503.0,#curry5,749974,657032,2,22781.0
496476.39024390245,#tissot,867299,222692,41,838804.0
649807.75,#tbt,690297,611999,4,489316042.0
676692.0,#nbdraft,676692,676692,1,47.0
780689.0,#thisisourtime,780689,780689,1,37435.0
726501.6666666666,#assistsoftheweek,804724,674314,24,178.0
332438.0,#nbacoaches,332438,332438,1,551.0
642457.5,#philaunite,735918,554529,4,21153.0
314897.0,#communityassist,314897,314897,1,230.0
314897.0,#playername,314897,314897,1,4850.0
460485.5714285714,#takenote,741135,288846,7,267523.0
757785.0,#runthatback,757785,757785,1,2598.0
749974.0,#stephiq,749974,749974,1,47.0
791709.0,#game7,791709,791709,1,366231.0
612478.5,#whynot,815439,325338,4,5056186.0
683126.0,#itsourtime,683126,683126,1,96147.0
695050.0,#takeyourchildtoworkday,695050,695050,1,39670.0
650919.0,#doitbigger,650919,650919,1,7981.0
746360.0,#playoffrondo,746360,746360,1,581.0
748961.0,#nationalhighfiveday,748961,748961,1,20285.0
296987.0,#whitehot,296987,296987,1,136944.0
698652.0,#playoffp,698652,698652,1,2603.0
427726.7272727273,#allforone,478453,350294,11,328359.0
729055.0,#theanswer,729055,729055,1,182417.0
683939.0,#82,683939,683939,1,415898.0
626239.0,#andreingram,626239,626239,1,3347.0
427269.0,#buzzcity,626781,294467,5,199272.0
217495.0,#goforgreat,217495,217495,1,6721.0
584087.0,#nationalsiblingsday,584087,584087,1,3454005.0
614468.0,#50,614468,614468,1,3636142.0
566153.25,#celtics,668808,328025,4,1504713.0
695327.0,#mlk50,695327,695327,1,38544.0
573924.0,#nba2kleaguedraft,573924,573924,1,302.0
702017.0,#peanutbutterandjellyday,702017,702017,1,1521.0
695117.0,#finalfour,695117,695117,1,623922.0
665702.0,#vetmove,665702,665702,1,359.0
325641.5,#sacramentoproud,338141,313142,2,281604.0
333302.0,#hoopsforstjude,333302,333302,1,14.0
282083.0,#rocketsallaccess,282083,282083,1,1.0
270312.0,#hoops4stjude,270312,270312,1,134.0
352801.0,#iwd2018,352801,352801,1,253136.0
577156.0,#pelicans,634325,519987,2,519546.0
634325.0,#clippers,634325,634325,1,1440643.0
317569.0,#nochesenebea,350952,284186,2,655.0
593040.65,#verizondunk,861068,288846,20,4674.0
716433.0,#msdstrong,716433,716433,1,100245.0
674595.0,#22,674595,674595,1,8955057.0
259742.0,#bwbglobal,259742,259742,1,457.0
624426.1,#teamstephen,868076,329184,10,7647.0
656335.0,#gleaguedunk,683459,629211,2,57.0
804166.0,#nbaallstargame,804166,804166,1,40230.0
283569.0,#amexnba,283569,283569,1,1446.0
681943.75,#jbl3pt,853198,298045,4,1029.0
861068.0,#phamtomcam,861068,861068,1,31.0
389979.0,#uaheatseeker,389979,389979,1,419.0
265783.0,#blackpanther,277421,254145,2,4680657.0
695477.0,#splashbros,695477,695477,1,114114.0
433103.6666666667,#thetruth,618929,311462,3,1443559.0
519442.1666666667,#thankyoupaul,746893,290303,6,10816.0
712254.3333333334,#34,746893,667423,3,1693663.0
420460.0,#ngwsd,623385,217535,2,16993.0
331176.25,#houseofhoops,344434,322190,4,84489.0
499735.0,#raptorsallaccess,671676,327794,2,22.0
425104.0,#lebronwatch,425104,425104,1,31143.0
485115.5,#doitbig,650919,319312,2,104124.0
507739.5,#pistons,674443,341036,2,297597.0
813969.0,#bang,813969,813969,1,1333041.0
382739.0,#insidethenba,382739,382739,1,31546.0
388909.0,#stephencurry,388909,388909,1,928264.0
952816.0,#striveforgreatness,952816,952816,1,2280900.0
319289.0,#mondaymotivation,319289,319289,1,15917550.0
319289.0,#nbafit,319289,319289,1,5246.0
620451.0,#insidestuff,674301,557926,7,9529.0
657341.0,#knicks,657341,657341,1,1335956.0
657341.0,#utahjazz,657341,657341,1,219844.0
671533.0,#12,678590,664476,2,7145886.0
704261.5384615385,#posteralert,1020514,383862,13,1507.0
290678.0,#kyrie4,290678,290678,1,81917.0
492302.3333333333,#thatslowgrind,561007,372588,3,17049.0
721740.0,#bestofnba2017,721740,721740,1,18.0
748744.0,#bbqchickenalert,748744,748744,1,728.0
585887.4375,#ko8e24,735753,295726,16,61172.0
627923.5,#seasonofgiving,685578,570269,2,153853.0
367338.0,#nbafantasy,367338,367338,1,8231.0
562812.0,#grindcity,665830,459794,2,30823.0
335920.0,#feathery,335920,335920,1,33457.0
674577.0,#nbamexicogames,683275,665879,2,1591.0
607468.0,#puremagic,607468,607468,1,192464.0
765427.0,#fannypack,765427,765427,1,565798.0
595467.0,#magicallaccess,595467,595467,1,1.0
509762.5,#thebeard,664954,355169,4,141665.0
774641.0,#maskedkyrie,774641,774641,1,2458.0
582969.0,#cavsallaccess,768903,341154,8,66.0
756749.0,#themanimal,756749,756749,1,5524.0
581140.0,#hoodiemelo,581140,581140,1,29028.0
297878.0,#thebrotherhood,297878,297878,1,82435.0
714923.0,#curry4,714923,714923,1,41584.0
290128.0,#oneamericaappeal,290128,290128,1,2527.0
679942.2121212122,#kiatipoff17,973382,261103,66,2647.0
349398.0,#spiritday,349398,349398,1,217760.0
728420.0,#nbafamily,728420,728420,1,4605.0
328690.0,#fridaythe13th,328690,328690,1,2004721.0
519987.0,#pelicansallaccess,519987,519987,1,1.0
